time, numFragments, numFailedAllocations, numAllocations, numDeallocations, freeMem
1, 1, 0, 16, 0, 66
2, 1, 0, 13, 1, 12
3, 2, 2, 7, 4, 2
4, 4, 6, 4, 3, 4
5, 4, 6, 9, 6, 4
6, 3, 3, 7, 6, 3
7, 5, 18, 7, 7, 5
8, 4, 11, 5, 2, 4
9, 5, 11, 5, 6, 5
10, 7, 51, 13, 10, 8
11, 10, 67, 9, 8, 14
12, 8, 72, 9, 7, 12
13, 9, 87, 12, 11, 17
14, 9, 91, 10, 8, 12
15, 8, 97, 9, 10, 12
16, 6, 80, 9, 8, 9
17, 6, 50, 4, 5, 7
18, 8, 105, 9, 8, 10
19, 8, 124, 7, 12, 13
20, 8, 154, 13, 12, 12
21, 9, 139, 11, 10, 11
22, 6, 132, 10, 8, 6
23, 7, 129, 10, 11, 7
24, 9, 163, 9, 10, 9
25, 8, 171, 9, 9, 10
26, 4, 184, 13, 9, 4
27, 4, 121, 7, 8, 4
28, 6, 138, 9, 9, 6
29, 3, 113, 6, 5, 4
30, 3, 176, 15, 15, 3
31, 2, 95, 7, 8, 2
32, 6, 134, 7, 8, 6
33, 4, 232, 14, 11, 6
34, 7, 212, 7, 9, 12
35, 3, 204, 10, 10, 5
36, 1, 148, 10, 11, 1
37, 1, 57, 6, 5, 1
38, 5, 186, 9, 14, 8
39, 5, 196, 8, 9, 8
40, 4, 149, 7, 7, 7
41, 6, 137, 7, 9, 7
42, 5, 105, 5, 7, 6
43, 3, 178, 11, 11, 3
44, 4, 137, 7, 7, 4
45, 4, 164, 9, 10, 4
46, 5, 119, 7, 6, 5
47, 3, 151, 10, 8, 3
48, 4, 148, 6, 7, 6
49, 1, 203, 11, 9, 1
50, 1, 122, 8, 6, 1
51, 4, 103, 7, 8, 4
52, 2, 93, 7, 6, 2
53, 2, 230, 10, 8, 2
54, 2, 82, 7, 7, 2
55, 4, 139, 7, 8, 4
56, 2, 137, 7, 8, 2
57, 1, 94, 6, 4, 1
58, 3, 235, 8, 12, 3
59, 10, 309, 12, 15, 10
60, 7, 280, 8, 6, 7
61, 3, 133, 6, 4, 3
62, 2, 283, 10, 9, 2
63, 1, 182, 10, 10, 1
64, 4, 245, 11, 13, 4
65, 5, 361, 9, 10, 5
66, 0, 139, 6, 4, 0
67, 1, 116, 9, 12, 1
68, 0, 102, 9, 7, 0
69, 0, 78, 5, 5, 0
70, 0, 172, 11, 7, 0
71, 2, 322, 12, 13, 2
72, 3, 103, 6, 6, 3
73, 1, 248, 10, 9, 1
74, 2, 300, 8, 9, 2
75, 1, 243, 8, 8, 1
76, 3, 155, 8, 11, 3
77, 4, 157, 7, 10, 4
78, 2, 251, 10, 7, 2
79, 2, 86, 5, 4, 2
80, 0, 53, 6, 4, 0
81, 1, 215, 8, 7, 1
82, 0, 320, 11, 7, 0
83, 1, 403, 15, 13, 1
84, 3, 182, 6, 5, 3
85, 4, 258, 7, 8, 4
86, 6, 331, 6, 7, 6
87, 4, 511, 14, 14, 4
88, 4, 188, 5, 6, 4
89, 4, 436, 12, 13, 4
90, 1, 583, 15, 15, 1
91, 0, 292, 10, 12, 0
92, 0, 218, 7, 6, 0
93, 2, 112, 7, 7, 2
94, 3, 383, 10, 10, 3
95, 4, 275, 5, 6, 4
96, 3, 250, 10, 16, 3
97, 0, 322, 13, 10, 0
98, 2, 168, 6, 7, 2
99, 5, 444, 10, 13, 5
100, 4, 250, 6, 6, 4
101, 1, 430, 10, 11, 1
102, 2, 200, 5, 7, 3
103, 2, 55, 3, 6, 4
104, 3, 220, 7, 6, 4
105, 3, 286, 7, 7, 3
106, 4, 277, 3, 5, 4
107, 3, 279, 7, 8, 4
108, 3, 186, 5, 7, 6
109, 6, 495, 8, 6, 9
110, 3, 179, 7, 7, 4
111, 4, 74, 3, 2, 5
112, 5, 532, 10, 9, 6
113, 7, 425, 5, 7, 10
114, 6, 449, 6, 5, 9
115, 4, 264, 10, 9, 4
116, 5, 27, 2, 3, 5
117, 3, 81, 6, 7, 3
118, 6, 585, 8, 8, 10
119, 7, 379, 6, 7, 11
120, 7, 455, 4, 4, 12
121, 3, 442, 7, 7, 7
122, 5, 354, 4, 4, 12
123, 5, 440, 3, 3, 13
124, 8, 644, 8, 9, 17
125, 8, 618, 7, 6, 16
126, 4, 423, 8, 10, 6
127, 3, 201, 5, 6, 5
128, 3, 12, 0, 0, 5
129, 4, 493, 8, 7, 8
130, 1, 124, 7, 8, 1
131, 3, 137, 4, 4, 3
132, 3, 116, 4, 4, 4
133, 6, 377, 8, 8, 9
134, 5, 442, 7, 6, 8
135, 5, 284, 3, 3, 8
136, 4, 262, 5, 4, 6
137, 4, 286, 3, 4, 6
138, 4, 375, 6, 6, 10
139, 4, 376, 7, 8, 8
140, 5, 365, 4, 3, 9
141, 7, 390, 6, 9, 9
142, 7, 241, 3, 6, 12
143, 6, 391, 5, 4, 11
144, 6, 451, 8, 6, 11
145, 6, 357, 2, 2, 11
146, 7, 506, 5, 5, 13
147, 4, 188, 4, 5, 6
148, 5, 400, 7, 7, 8
149, 4, 175, 2, 3, 7
150, 4, 272, 4, 3, 7
151, 6, 310, 4, 4, 12
152, 5, 163, 5, 5, 8
153, 4, 108, 3, 4, 4
154, 2, 51, 7, 6, 3
155, 3, 181, 5, 5, 3
156, 5, 123, 5, 5, 5
157, 4, 271, 5, 5, 7
158, 2, 157, 6, 6, 4
159, 4, 124, 3, 2, 8
160, 5, 133, 2, 3, 9
161, 6, 175, 3, 4, 10
162, 7, 301, 4, 3, 11
163, 7, 420, 7, 8, 10
164, 6, 283, 8, 8, 10
165, 6, 250, 2, 2, 11
166, 6, 233, 3, 3, 12
167, 6, 309, 3, 3, 12
168, 3, 241, 4, 4, 9
169, 2, 59, 2, 2, 6
170, 1, 16, 3, 3, 4
171, 4, 298, 5, 6, 11
172, 6, 344, 6, 7, 13
173, 5, 307, 6, 6, 11
174, 5, 299, 3, 3, 14
175, 6, 299, 3, 3, 13
176, 6, 317, 6, 5, 11
177, 4, 307, 5, 6, 10
178, 4, 80, 3, 2, 8
179, 4, 113, 2, 2, 8
180, 3, 45, 1, 1, 5
181, 4, 239, 6, 6, 7
182, 3, 160, 2, 3, 8
183, 4, 126, 2, 2, 11
184, 4, 140, 4, 4, 8
185, 4, 126, 3, 3, 7
186, 2, 166, 7, 9, 6
187, 3, 63, 2, 2, 8
188, 5, 208, 3, 3, 11
189, 4, 271, 6, 5, 10
190, 5, 244, 4, 4, 11
191, 5, 234, 3, 3, 9
192, 6, 115, 2, 1, 11
193, 5, 189, 3, 3, 9
194, 4, 56, 1, 1, 8
195, 3, 71, 5, 6, 5
196, 3, 163, 7, 7, 7
197, 3, 57, 5, 5, 7
198, 2, 104, 4, 4, 5
199, 4, 260, 6, 6, 7
200, 4, 29, 1, 1, 7
201, 4, 25, 1, 1, 7
202, 4, 202, 6, 4, 7
203, 5, 218, 4, 4, 9
204, 5, 148, 4, 4, 8
205, 5, 196, 3, 3, 11
206, 5, 193, 2, 1, 11
207, 4, 223, 6, 5, 7
208, 3, 152, 6, 7, 6
209, 4, 169, 4, 5, 7
210, 3, 92, 7, 7, 3
211, 3, 0, 1, 2, 3
212, 2, 26, 4, 3, 3
213, 2, 65, 2, 2, 3
214, 2, 14, 2, 2, 4
215, 4, 170, 6, 5, 4
216, 8, 247, 7, 7, 12
217, 4, 218, 5, 5, 10
218, 2, 82, 4, 4, 3
219, 1, 23, 4, 5, 3
220, 1, 23, 3, 3, 3
221, 1, 142, 5, 3, 3
222, 3, 118, 5, 5, 7
223, 4, 253, 5, 5, 8
224, 3, 154, 5, 3, 7
225, 4, 147, 7, 7, 8
226, 7, 152, 3, 3, 12
227, 8, 201, 2, 2, 13
228, 7, 323, 6, 6, 18
229, 5, 201, 6, 7, 11
230, 5, 225, 7, 8, 11
231, 7, 288, 4, 5, 17
232, 7, 241, 3, 3, 17
233, 7, 276, 3, 3, 17
234, 3, 124, 5, 5, 8
235, 1, 223, 8, 7, 2
236, 2, 13, 2, 2, 3
237, 3, 75, 3, 4, 6
238, 2, 41, 3, 3, 4
239, 3, 110, 4, 4, 7
240, 4, 212, 6, 7, 12
241, 5, 247, 6, 8, 16
242, 6, 233, 6, 5, 15
243, 6, 184, 2, 2, 15
244, 5, 112, 2, 2, 12
245, 6, 125, 4, 5, 12
246, 4, 217, 6, 5, 9
247, 5, 193, 4, 3, 16
248, 5, 151, 6, 5, 12
249, 3, 134, 4, 3, 6
250, 2, 50, 3, 4, 5
251, 4, 124, 6, 5, 7
252, 6, 261, 5, 6, 17
253, 6, 285, 7, 11, 25
254, 6, 276, 3, 2, 25
255, 6, 196, 1, 1, 27
256, 5, 241, 4, 3, 19
257, 3, 182, 5, 5, 13
258, 2, 57, 5, 5, 5
259, 2, 136, 6, 5, 8
260, 2, 37, 3, 4, 8
261, 3, 39, 2, 4, 7
262, 5, 154, 4, 5, 11
263, 4, 4, 2, 2, 5
264, 4, 2, 1, 1, 5
265, 3, 82, 5, 4, 9
266, 3, 18, 1, 2, 9
267, 4, 155, 5, 6, 15
268, 3, 83, 2, 3, 13
269, 4, 131, 2, 2, 17
270, 4, 121, 6, 6, 11
271, 5, 175, 6, 4, 12
272, 4, 52, 2, 2, 9
273, 5, 129, 4, 4, 12
274, 5, 97, 3, 3, 15
275, 6, 95, 5, 5, 12
276, 6, 67, 1, 1, 12
277, 7, 103, 1, 1, 14
278, 5, 70, 3, 2, 9
279, 4, 97, 3, 3, 8
280, 3, 26, 3, 4, 9
281, 3, 60, 3, 2, 5
282, 7, 118, 6, 6, 12
283, 6, 115, 6, 6, 10
284, 6, 91, 4, 5, 12
285, 5, 65, 4, 3, 8
286, 6, 99, 3, 4, 14
287, 6, 97, 2, 2, 14
288, 5, 59, 3, 3, 11
289, 6, 105, 2, 2, 16
290, 3, 69, 5, 7, 10
291, 3, 126, 3, 4, 11
292, 4, 71, 2, 2, 14
293, 3, 16, 3, 4, 10
294, 5, 33, 2, 2, 12
295, 5, 26, 3, 4, 10
296, 5, 11, 0, 0, 10
297, 2, 56, 6, 5, 5
298, 4, 43, 3, 3, 7
299, 4, 18, 3, 4, 11
300, 3, 72, 2, 2, 12
301, 4, 107, 4, 3, 14
302, 5, 87, 2, 2, 17
303, 5, 115, 4, 3, 19
304, 2, 18, 3, 3, 9
305, 2, 7, 0, 0, 9
