time, numFragments, numFailedAllocations, numAllocations, numDeallocations, freeMem
1, 9, 6, 10, 0, 348
2, 18, 12, 13, 0, 259
3, 27, 18, 15, 4, 178
4, 29, 30, 4, 2, 172
5, 30, 41, 9, 7, 195
6, 29, 56, 6, 5, 192
7, 27, 71, 5, 5, 194
8, 23, 85, 5, 8, 244
9, 26, 96, 12, 8, 293
10, 22, 109, 5, 9, 317
11, 22, 124, 4, 4, 324
12, 27, 130, 11, 8, 282
13, 25, 144, 5, 6, 302
14, 27, 155, 11, 9, 294
15, 25, 165, 9, 11, 295
16, 24, 186, 6, 3, 282
17, 20, 195, 3, 8, 320
18, 19, 196, 15, 11, 257
19, 20, 211, 9, 11, 250
20, 22, 223, 10, 8, 231
21, 21, 234, 3, 9, 277
22, 25, 245, 9, 5, 241
23, 26, 258, 9, 7, 238
24, 25, 266, 8, 7, 244
25, 23, 278, 4, 7, 271
26, 24, 290, 9, 6, 269
27, 22, 306, 11, 13, 284
28, 24, 317, 8, 7, 278
29, 22, 333, 7, 10, 308
30, 22, 346, 6, 4, 291
31, 20, 358, 7, 9, 303
32, 23, 371, 9, 5, 268
33, 23, 386, 10, 9, 277
34, 20, 396, 3, 10, 324
35, 25, 410, 7, 5, 304
36, 25, 416, 11, 12, 266
37, 25, 425, 8, 5, 245
38, 26, 433, 8, 12, 234
39, 27, 435, 13, 8, 175
40, 24, 447, 7, 10, 208
41, 24, 456, 7, 7, 226
42, 25, 471, 7, 6, 221
43, 24, 485, 7, 5, 222
44, 23, 495, 9, 9, 258
45, 22, 502, 14, 12, 264
46, 18, 509, 7, 10, 311
47, 19, 519, 7, 3, 291
48, 19, 532, 6, 12, 308
49, 25, 546, 19, 6, 265
50, 25, 563, 4, 6, 270
51, 29, 571, 4, 3, 265
52, 28, 587, 11, 11, 275
53, 23, 604, 3, 9, 308
54, 19, 619, 9, 14, 324
55, 25, 626, 17, 15, 245
56, 23, 642, 2, 5, 290
57, 20, 654, 8, 9, 297
58, 26, 664, 12, 9, 235
59, 29, 678, 5, 2, 220
60, 28, 690, 9, 10, 245
61, 23, 706, 8, 8, 242
62, 24, 719, 9, 11, 257
63, 24, 721, 17, 15, 244
64, 28, 737, 13, 10, 235
65, 31, 747, 12, 7, 239
66, 31, 772, 9, 7, 230
67, 34, 785, 11, 5, 202
68, 33, 795, 8, 6, 197
69, 33, 806, 6, 8, 202
70, 31, 823, 8, 14, 247
71, 27, 836, 11, 13, 248
72, 24, 845, 7, 12, 296
73, 20, 864, 7, 8, 307
74, 24, 881, 8, 5, 287
75, 25, 892, 11, 8, 270
76, 21, 908, 8, 13, 289
77, 25, 922, 9, 8, 271
78, 25, 929, 11, 10, 261
79, 26, 938, 6, 9, 282
80, 25, 948, 7, 9, 302
81, 24, 966, 5, 6, 322
82, 23, 977, 8, 7, 327
83, 27, 986, 11, 7, 304
84, 19, 999, 3, 11, 342
85, 22, 1012, 11, 10, 321
86, 23, 1031, 7, 4, 300
87, 17, 1042, 5, 9, 331
88, 21, 1052, 6, 6, 323
89, 27, 1058, 16, 10, 262
90, 21, 1069, 5, 10, 294
91, 22, 1075, 8, 6, 291
92, 21, 1083, 6, 8, 300
93, 28, 1094, 11, 6, 278
94, 22, 1108, 4, 10, 327
95, 24, 1121, 10, 7, 298
96, 27, 1136, 9, 7, 303
97, 28, 1147, 15, 12, 280
98, 26, 1157, 5, 12, 318
99, 28, 1170, 8, 5, 298
100, 21, 1170, 0, 7, 344
101, 20, 1166, 4, 6, 320
102, 22, 1158, 8, 8, 273
103, 22, 1152, 6, 6, 229
104, 23, 1145, 7, 7, 200
105, 26, 1136, 9, 9, 160
106, 30, 1129, 7, 7, 134
107, 31, 1123, 6, 6, 124
108, 31, 1117, 6, 6, 112
109, 31, 1114, 3, 3, 118
110, 30, 1107, 7, 7, 132
111, 29, 1100, 7, 7, 130
112, 30, 1093, 7, 7, 140
113, 29, 1087, 6, 6, 140
114, 29, 1082, 5, 5, 136
115, 29, 1077, 5, 5, 138
116, 30, 1068, 9, 9, 138
117, 32, 1058, 10, 10, 134
118, 32, 1051, 7, 7, 127
119, 32, 1044, 7, 7, 126
120, 32, 1040, 4, 4, 128
121, 32, 1028, 12, 12, 124
122, 32, 1024, 4, 4, 124
123, 32, 1021, 3, 3, 133
124, 32, 1017, 4, 4, 133
125, 32, 1009, 8, 8, 122
126, 32, 1003, 6, 6, 118
127, 32, 998, 5, 5, 116
128, 32, 991, 7, 7, 124
129, 32, 984, 7, 7, 111
130, 32, 979, 5, 5, 106
131, 32, 971, 8, 8, 111
132, 32, 964, 7, 7, 97
133, 32, 958, 6, 6, 112
134, 31, 953, 5, 5, 114
135, 31, 948, 5, 5, 116
136, 31, 940, 8, 8, 104
137, 31, 936, 4, 4, 108
138, 30, 927, 9, 9, 111
139, 30, 921, 6, 6, 110
140, 30, 914, 7, 7, 106
141, 30, 909, 5, 5, 115
142, 29, 904, 5, 5, 99
143, 28, 899, 5, 5, 102
144, 29, 891, 8, 8, 100
145, 29, 883, 8, 8, 105
146, 28, 876, 7, 7, 104
147, 29, 869, 7, 7, 110
148, 30, 863, 6, 6, 111
149, 30, 858, 5, 5, 108
150, 32, 852, 6, 6, 127
151, 31, 844, 8, 8, 121
152, 31, 842, 2, 2, 119
153, 31, 837, 5, 5, 129
154, 31, 825, 12, 12, 148
155, 31, 823, 2, 2, 141
156, 32, 816, 7, 7, 140
157, 32, 810, 6, 6, 134
158, 32, 799, 11, 11, 137
159, 32, 793, 6, 6, 131
160, 32, 786, 7, 7, 134
161, 32, 781, 5, 5, 138
162, 32, 773, 8, 8, 131
163, 31, 765, 8, 8, 121
164, 31, 758, 7, 7, 113
165, 31, 754, 4, 4, 122
166, 31, 743, 11, 11, 130
167, 31, 737, 6, 6, 128
168, 31, 727, 10, 10, 115
169, 31, 724, 3, 3, 107
170, 25, 724, 0, 6, 186
171, 21, 724, 0, 4, 231
172, 15, 723, 1, 7, 308
173, 15, 718, 5, 5, 239
174, 15, 710, 8, 8, 157
175, 15, 707, 3, 3, 141
176, 15, 704, 3, 3, 132
177, 15, 701, 3, 3, 134
178, 16, 694, 7, 7, 154
179, 16, 690, 4, 4, 142
180, 16, 688, 2, 2, 146
181, 16, 686, 2, 2, 148
182, 16, 681, 5, 5, 160
183, 16, 679, 2, 2, 147
184, 16, 676, 3, 3, 124
185, 15, 670, 6, 6, 114
186, 15, 669, 1, 1, 117
187, 15, 667, 2, 2, 111
188, 15, 666, 1, 1, 121
189, 14, 660, 6, 6, 121
190, 14, 658, 2, 2, 118
191, 15, 656, 2, 2, 121
192, 16, 652, 4, 4, 132
193, 15, 648, 4, 4, 113
194, 14, 644, 4, 4, 93
195, 14, 641, 3, 3, 97
196, 14, 637, 4, 4, 113
197, 14, 637, 0, 0, 113
198, 15, 636, 1, 1, 124
199, 16, 632, 4, 4, 132
200, 16, 629, 3, 3, 134
201, 14, 621, 8, 10, 129
202, 14, 620, 1, 1, 126
203, 14, 618, 2, 2, 115
204, 13, 611, 7, 7, 124
205, 15, 607, 4, 2, 137
206, 15, 607, 0, 0, 137
207, 15, 606, 1, 1, 143
208, 15, 604, 2, 2, 151
209, 15, 602, 2, 2, 145
210, 15, 597, 5, 5, 112
211, 16, 593, 4, 4, 130
212, 15, 588, 5, 5, 115
213, 15, 586, 2, 2, 123
214, 15, 582, 4, 4, 121
215, 15, 579, 3, 3, 143
216, 14, 577, 2, 2, 134
217, 14, 575, 2, 2, 142
218, 14, 573, 2, 2, 123
219, 15, 570, 3, 3, 115
220, 16, 563, 7, 7, 95
221, 15, 560, 3, 3, 88
222, 15, 559, 1, 1, 95
223, 14, 555, 4, 4, 108
224, 14, 553, 2, 2, 99
225, 14, 549, 4, 4, 113
226, 15, 544, 5, 5, 129
227, 15, 543, 1, 1, 133
228, 15, 539, 4, 4, 135
229, 15, 533, 6, 6, 127
230, 15, 530, 3, 3, 128
231, 15, 528, 2, 2, 125
232, 15, 527, 1, 1, 113
233, 15, 522, 5, 5, 120
234, 15, 520, 2, 2, 127
235, 15, 516, 4, 4, 125
236, 15, 514, 2, 2, 138
237, 15, 512, 2, 2, 129
238, 15, 509, 3, 3, 126
239, 15, 506, 3, 3, 132
240, 15, 504, 2, 2, 125
241, 15, 502, 2, 2, 139
242, 14, 494, 8, 8, 120
243, 14, 491, 3, 3, 117
244, 13, 488, 3, 3, 107
245, 13, 487, 1, 1, 106
246, 14, 483, 4, 4, 119
247, 14, 481, 2, 2, 123
248, 13, 478, 3, 5, 190
249, 11, 478, 0, 2, 236
250, 8, 478, 0, 3, 306
251, 7, 477, 1, 2, 303
252, 7, 475, 2, 2, 253
253, 8, 472, 3, 3, 192
254, 8, 471, 1, 1, 155
255, 8, 470, 1, 1, 148
256, 8, 469, 1, 1, 125
257, 8, 467, 2, 2, 122
258, 8, 467, 0, 0, 122
259, 8, 465, 2, 2, 135
260, 8, 462, 3, 3, 95
261, 8, 460, 2, 2, 105
262, 8, 459, 1, 1, 127
263, 8, 459, 0, 0, 127
264, 8, 459, 0, 0, 127
265, 8, 459, 0, 0, 127
266, 8, 456, 3, 3, 116
267, 8, 454, 2, 2, 90
268, 8, 452, 2, 2, 90
269, 8, 451, 1, 1, 89
270, 8, 450, 1, 1, 102
271, 8, 450, 0, 0, 102
272, 8, 448, 2, 2, 143
273, 8, 446, 2, 2, 168
274, 8, 445, 1, 1, 164
275, 8, 443, 2, 2, 151
276, 8, 442, 1, 1, 136
277, 8, 440, 2, 2, 119
278, 8, 440, 0, 0, 119
279, 8, 438, 2, 2, 113
280, 8, 436, 2, 2, 155
281, 8, 435, 1, 1, 163
282, 8, 432, 3, 3, 168
283, 8, 432, 0, 0, 168
284, 8, 428, 4, 4, 149
285, 8, 428, 0, 0, 149
286, 8, 426, 2, 2, 116
287, 8, 425, 1, 1, 89
288, 8, 424, 1, 1, 116
289, 8, 423, 1, 1, 129
290, 8, 421, 2, 2, 135
291, 8, 419, 2, 2, 154
292, 8, 416, 3, 3, 146
293, 8, 414, 2, 2, 139
294, 8, 413, 1, 1, 120
295, 8, 411, 2, 2, 113
296, 8, 410, 1, 1, 117
297, 8, 409, 1, 1, 127
298, 8, 408, 1, 1, 124
299, 8, 405, 3, 3, 137
300, 8, 403, 2, 2, 122
301, 8, 402, 1, 1, 125
302, 8, 400, 2, 2, 115
303, 8, 399, 1, 1, 127
304, 8, 399, 0, 0, 127
305, 8, 398, 1, 1, 128
306, 8, 398, 0, 0, 128
307, 8, 393, 5, 5, 145
308, 8, 392, 1, 1, 123
309, 8, 390, 2, 2, 120
310, 8, 387, 3, 3, 95
311, 8, 384, 3, 3, 131
312, 8, 384, 0, 0, 131
313, 8, 383, 1, 1, 130
314, 8, 382, 1, 1, 126
315, 8, 379, 3, 3, 117
316, 8, 377, 2, 2, 130
317, 8, 376, 1, 1, 121
318, 8, 375, 1, 1, 143
319, 8, 374, 1, 1, 140
320, 8, 374, 0, 0, 140
321, 8, 371, 3, 3, 88
322, 8, 369, 2, 2, 101
323, 8, 367, 2, 2, 102
324, 8, 364, 3, 3, 109
325, 8, 362, 2, 2, 124
326, 8, 358, 4, 4, 159
327, 8, 356, 2, 2, 147
