time, numFragments, numFailedAllocations, numAllocations, numDeallocations, freeMem
1, 8, 7, 9, 0, 401
2, 9, 24, 2, 0, 395
3, 9, 44, 1, 1, 395
4, 9, 60, 0, 0, 395
5, 9, 77, 3, 2, 399
6, 9, 98, 0, 1, 400
7, 9, 115, 3, 3, 399
8, 8, 132, 2, 2, 427
9, 8, 150, 5, 5, 459
10, 8, 164, 4, 3, 426
11, 8, 180, 3, 2, 432
12, 8, 195, 2, 3, 435
13, 7, 210, 4, 5, 448
14, 7, 230, 2, 1, 447
15, 6, 247, 2, 2, 451
16, 6, 271, 3, 3, 449
17, 6, 283, 0, 1, 450
18, 6, 298, 1, 1, 451
19, 6, 319, 3, 2, 450
20, 6, 339, 2, 3, 457
21, 6, 350, 3, 3, 458
22, 6, 369, 1, 0, 457
23, 6, 391, 0, 1, 458
24, 6, 406, 1, 0, 457
25, 6, 420, 2, 2, 459
26, 8, 436, 5, 5, 426
27, 8, 462, 1, 1, 420
28, 8, 479, 2, 3, 431
29, 8, 497, 5, 4, 448
30, 7, 515, 1, 3, 451
31, 7, 533, 1, 0, 450
32, 7, 553, 2, 3, 460
33, 7, 573, 5, 3, 456
34, 7, 585, 1, 3, 456
35, 8, 601, 5, 4, 439
36, 8, 617, 1, 1, 456
37, 8, 632, 2, 2, 432
38, 9, 645, 3, 4, 433
39, 9, 658, 2, 2, 435
40, 9, 674, 3, 1, 432
41, 9, 688, 2, 3, 428
42, 9, 708, 2, 2, 435
43, 9, 725, 4, 4, 428
44, 9, 740, 4, 3, 420
45, 9, 758, 3, 2, 415
46, 9, 769, 3, 2, 428
47, 8, 783, 3, 3, 432
48, 8, 800, 2, 2, 414
49, 8, 827, 6, 3, 415
50, 8, 846, 2, 3, 427
51, 7, 857, 1, 3, 433
52, 7, 880, 4, 2, 421
53, 6, 898, 2, 3, 439
54, 6, 921, 1, 3, 428
55, 6, 944, 1, 3, 424
56, 6, 960, 2, 1, 433
57, 6, 978, 2, 1, 437
58, 7, 997, 3, 6, 415
59, 8, 1015, 1, 1, 406
60, 8, 1034, 2, 1, 404
61, 8, 1056, 2, 1, 408
62, 8, 1076, 2, 2, 430
63, 8, 1094, 1, 1, 427
64, 8, 1123, 0, 2, 429
65, 9, 1139, 6, 5, 413
66, 9, 1169, 4, 1, 424
67, 8, 1192, 1, 2, 427
68, 7, 1206, 4, 4, 430
69, 7, 1220, 3, 1, 436
70, 7, 1245, 0, 1, 437
71, 7, 1268, 1, 3, 446
72, 7, 1282, 2, 2, 441
73, 7, 1303, 5, 3, 446
74, 6, 1326, 2, 4, 454
75, 6, 1345, 3, 3, 457
76, 6, 1368, 1, 1, 452
77, 6, 1389, 2, 3, 457
78, 6, 1404, 3, 2, 460
79, 6, 1417, 2, 2, 445
80, 6, 1431, 3, 0, 442
81, 5, 1452, 2, 3, 432
82, 5, 1464, 7, 4, 412
83, 6, 1483, 1, 3, 439
84, 6, 1498, 1, 3, 445
85, 6, 1521, 1, 1, 433
86, 6, 1547, 0, 2, 435
87, 6, 1560, 3, 2, 432
88, 6, 1575, 1, 2, 433
89, 7, 1593, 4, 4, 441
90, 8, 1604, 5, 5, 447
91, 8, 1614, 4, 4, 430
92, 8, 1626, 2, 2, 443
93, 8, 1646, 2, 2, 430
94, 8, 1663, 1, 1, 430
95, 8, 1685, 1, 1, 426
96, 8, 1707, 2, 1, 414
97, 7, 1730, 3, 2, 431
98, 7, 1741, 4, 5, 441
99, 7, 1760, 2, 4, 431
100, 7, 1757, 3, 3, 430
101, 8, 1755, 2, 2, 417
102, 8, 1755, 0, 0, 417
103, 8, 1752, 3, 3, 421
104, 8, 1751, 1, 1, 423
105, 8, 1750, 1, 1, 429
106, 10, 1747, 3, 3, 400
107, 10, 1744, 3, 3, 410
108, 10, 1741, 3, 3, 396
109, 10, 1738, 3, 3, 389
110, 10, 1738, 0, 0, 389
111, 10, 1736, 2, 2, 412
112, 10, 1734, 2, 2, 410
113, 10, 1733, 1, 1, 408
114, 10, 1732, 1, 1, 398
115, 10, 1730, 2, 2, 416
116, 10, 1727, 3, 3, 393
117, 10, 1726, 1, 1, 394
118, 10, 1723, 3, 3, 409
119, 10, 1721, 2, 2, 402
120, 10, 1720, 1, 1, 398
121, 9, 1716, 4, 5, 383
122, 9, 1716, 0, 0, 383
123, 9, 1714, 2, 2, 381
124, 9, 1713, 1, 1, 384
125, 9, 1711, 2, 2, 371
126, 9, 1708, 3, 3, 386
127, 9, 1705, 3, 3, 384
128, 8, 1703, 2, 3, 379
129, 8, 1701, 2, 2, 378
130, 8, 1701, 0, 0, 378
131, 8, 1699, 2, 2, 352
132, 8, 1698, 1, 1, 353
133, 8, 1696, 2, 2, 362
134, 7, 1692, 4, 5, 398
135, 7, 1690, 2, 2, 400
136, 7, 1690, 0, 0, 400
137, 7, 1690, 0, 0, 400
138, 7, 1689, 1, 1, 400
139, 7, 1687, 2, 2, 410
140, 7, 1685, 2, 2, 394
141, 7, 1684, 1, 1, 396
142, 7, 1681, 3, 3, 403
143, 7, 1680, 1, 1, 392
144, 7, 1678, 2, 2, 388
145, 7, 1677, 1, 1, 385
146, 7, 1677, 0, 0, 385
147, 7, 1676, 1, 1, 384
148, 7, 1676, 0, 0, 384
149, 7, 1674, 2, 2, 405
150, 7, 1674, 0, 0, 405
151, 7, 1670, 4, 4, 405
152, 7, 1668, 2, 2, 369
153, 7, 1667, 1, 1, 374
154, 7, 1665, 2, 2, 386
155, 7, 1663, 2, 2, 390
156, 7, 1663, 0, 0, 390
157, 7, 1662, 1, 1, 389
158, 7, 1662, 0, 0, 389
159, 7, 1660, 2, 2, 407
160, 7, 1658, 2, 2, 383
161, 7, 1657, 1, 1, 404
162, 7, 1657, 0, 0, 404
163, 7, 1654, 3, 3, 385
164, 7, 1652, 2, 2, 392
165, 7, 1652, 0, 0, 392
166, 7, 1651, 1, 1, 375
