time, numFragments, numFailedAllocations, numAllocations, numDeallocations, freeMem
1, 1, 0, 16, 0, 66
2, 1, 0, 13, 1, 12
3, 2, 2, 7, 4, 2
4, 4, 6, 4, 3, 4
5, 5, 17, 9, 6, 5
6, 4, 13, 7, 6, 4
7, 5, 22, 8, 7, 7
8, 5, 19, 5, 3, 7
9, 3, 24, 7, 6, 3
10, 4, 42, 11, 10, 6
11, 5, 55, 7, 7, 9
12, 5, 50, 9, 7, 7
13, 5, 71, 14, 13, 6
14, 7, 93, 9, 8, 9
15, 7, 70, 4, 3, 9
16, 7, 104, 12, 11, 10
17, 4, 86, 11, 11, 6
18, 3, 11, 5, 4, 3
19, 3, 98, 9, 13, 5
20, 4, 153, 13, 16, 8
21, 7, 118, 5, 7, 13
22, 8, 137, 11, 11, 15
23, 6, 137, 7, 5, 9
24, 8, 154, 9, 10, 9
25, 7, 158, 7, 6, 8
26, 6, 161, 11, 10, 6
27, 9, 150, 5, 5, 11
28, 8, 136, 5, 6, 9
29, 5, 185, 10, 9, 5
30, 2, 46, 7, 7, 2
31, 4, 189, 13, 15, 5
32, 4, 163, 5, 7, 7
33, 3, 151, 7, 4, 5
34, 5, 17, 1, 3, 7
35, 5, 194, 9, 12, 7
36, 4, 112, 4, 4, 6
37, 2, 161, 9, 7, 2
38, 5, 235, 11, 13, 5
39, 4, 53, 4, 6, 4
40, 2, 245, 16, 13, 4
41, 4, 60, 3, 3, 5
42, 7, 195, 13, 11, 8
43, 4, 203, 11, 10, 6
44, 3, 131, 6, 6, 4
45, 3, 240, 11, 9, 4
46, 3, 134, 6, 5, 4
47, 5, 207, 11, 8, 6
48, 4, 260, 11, 12, 5
49, 0, 124, 11, 9, 0
50, 1, 152, 7, 9, 1
51, 3, 166, 9, 9, 3
52, 1, 178, 9, 5, 1
53, 1, 232, 12, 10, 1
54, 3, 295, 12, 12, 3
55, 5, 174, 8, 11, 5
56, 3, 190, 7, 5, 3
57, 1, 206, 10, 10, 2
58, 5, 342, 12, 14, 6
59, 5, 315, 8, 13, 8
60, 2, 273, 10, 7, 2
61, 1, 314, 11, 9, 1
62, 1, 41, 6, 7, 1
63, 3, 347, 11, 11, 3
64, 5, 304, 7, 9, 5
65, 3, 65, 5, 7, 3
66, 0, 224, 11, 8, 0
67, 0, 171, 10, 9, 0
68, 0, 268, 13, 13, 0
69, 0, 258, 13, 12, 0
70, 0, 170, 9, 8, 0
71, 3, 428, 12, 12, 3
72, 3, 204, 6, 6, 3
73, 2, 166, 8, 7, 2
74, 4, 269, 8, 11, 4
75, 2, 137, 8, 9, 2
76, 4, 293, 9, 9, 4
77, 7, 371, 10, 12, 7
78, 2, 228, 9, 11, 3
79, 1, 182, 7, 5, 1
80, 1, 251, 9, 6, 1
81, 1, 385, 11, 10, 1
82, 0, 386, 15, 10, 0
83, 3, 276, 8, 7, 3
84, 4, 346, 9, 11, 4
85, 3, 386, 8, 7, 3
86, 4, 328, 6, 10, 4
87, 2, 510, 10, 10, 2
88, 2, 238, 6, 8, 2
89, 4, 511, 15, 17, 4
90, 1, 450, 13, 12, 1
91, 2, 253, 6, 6, 2
92, 0, 262, 7, 8, 0
93, 0, 164, 7, 9, 0
94, 2, 227, 10, 12, 2
95, 4, 116, 5, 7, 5
96, 5, 478, 7, 6, 6
97, 3, 437, 8, 6, 3
98, 3, 466, 10, 13, 3
99, 6, 611, 8, 11, 8
100, 4, 374, 8, 12, 6
101, 4, 158, 5, 8, 6
102, 3, 145, 5, 3, 4
103, 2, 106, 4, 6, 3
104, 3, 221, 5, 4, 4
105, 3, 356, 7, 7, 4
106, 4, 128, 4, 7, 5
107, 3, 208, 7, 8, 4
108, 5, 401, 7, 7, 7
109, 4, 104, 3, 3, 5
110, 5, 392, 6, 6, 7
111, 3, 116, 5, 7, 4
112, 3, 75, 4, 6, 4
113, 1, 36, 4, 4, 1
114, 2, 15, 5, 8, 2
115, 2, 76, 3, 3, 2
116, 2, 31, 3, 3, 2
117, 2, 99, 4, 4, 2
118, 1, 89, 4, 3, 1
119, 1, 44, 5, 4, 1
120, 2, 197, 7, 9, 2
121, 2, 225, 5, 3, 2
122, 2, 119, 4, 4, 2
123, 2, 16, 2, 2, 2
124, 2, 42, 3, 2, 2
125, 2, 117, 5, 5, 2
126, 2, 58, 5, 6, 3
127, 3, 240, 5, 5, 5
128, 2, 176, 4, 4, 4
129, 5, 69, 6, 7, 6
130, 3, 59, 3, 2, 3
131, 6, 480, 7, 7, 11
132, 4, 394, 6, 4, 7
133, 6, 216, 4, 4, 9
134, 5, 123, 2, 3, 7
135, 4, 306, 6, 7, 5
136, 3, 49, 2, 2, 3
137, 2, 271, 6, 7, 2
138, 3, 420, 7, 6, 4
139, 3, 42, 4, 4, 3
140, 3, 99, 6, 5, 3
141, 3, 0, 0, 0, 3
142, 3, 173, 6, 6, 3
143, 4, 103, 5, 4, 4
144, 3, 167, 4, 3, 3
145, 5, 107, 2, 4, 8
146, 5, 345, 6, 6, 8
147, 4, 403, 6, 5, 8
148, 2, 280, 8, 6, 7
149, 2, 355, 6, 5, 8
150, 3, 211, 4, 5, 9
151, 4, 361, 6, 5, 13
152, 6, 564, 6, 6, 18
153, 3, 171, 4, 4, 7
154, 0, 284, 9, 8, 0
155, 1, 20, 6, 6, 3
156, 2, 56, 4, 3, 4
157, 3, 197, 4, 3, 7
158, 3, 69, 4, 7, 6
159, 5, 136, 5, 6, 6
160, 5, 118, 3, 3, 6
161, 5, 92, 3, 3, 5
162, 5, 295, 7, 6, 6
163, 4, 91, 6, 5, 5
164, 4, 207, 5, 4, 7
165, 4, 105, 5, 8, 8
166, 3, 136, 4, 4, 6
167, 3, 224, 4, 3, 9
168, 4, 358, 7, 8, 9
169, 5, 330, 4, 3, 10
170, 6, 217, 1, 1, 13
171, 4, 263, 4, 4, 9
172, 4, 369, 9, 7, 6
173, 6, 384, 5, 5, 12
174, 4, 378, 5, 5, 8
175, 7, 394, 7, 6, 12
176, 7, 392, 4, 4, 16
177, 7, 329, 4, 4, 15
178, 7, 379, 5, 4, 14
179, 7, 405, 4, 5, 16
180, 6, 410, 5, 8, 17
181, 7, 390, 4, 4, 17
182, 6, 246, 6, 10, 11
183, 5, 219, 5, 5, 8
184, 7, 272, 4, 4, 12
185, 4, 162, 5, 4, 7
186, 4, 110, 2, 2, 8
187, 4, 298, 6, 6, 10
188, 5, 218, 6, 5, 8
189, 3, 21, 3, 3, 6
190, 3, 121, 5, 6, 5
191, 2, 154, 5, 5, 7
192, 3, 145, 4, 4, 6
193, 3, 0, 0, 0, 6
194, 6, 226, 5, 7, 11
195, 3, 190, 6, 5, 7
196, 3, 144, 3, 3, 7
197, 1, 139, 6, 5, 2
198, 1, 107, 4, 4, 1
199, 3, 102, 5, 6, 4
200, 5, 150, 3, 3, 9
201, 5, 141, 2, 2, 9
202, 5, 163, 4, 4, 9
203, 4, 141, 6, 7, 8
204, 3, 63, 3, 2, 7
205, 4, 165, 3, 3, 10
206, 3, 96, 5, 6, 5
207, 5, 212, 6, 6, 11
208, 5, 208, 4, 4, 11
209, 7, 297, 7, 6, 13
210, 6, 46, 1, 1, 8
211, 7, 90, 1, 1, 9
212, 7, 157, 3, 3, 9
213, 6, 175, 5, 5, 9
214, 5, 127, 4, 5, 8
215, 5, 87, 3, 2, 8
216, 3, 200, 7, 8, 8
217, 4, 234, 6, 6, 14
218, 5, 188, 3, 3, 12
219, 4, 140, 3, 4, 9
220, 3, 146, 7, 7, 9
221, 3, 22, 4, 5, 6
222, 6, 207, 6, 6, 11
223, 6, 84, 0, 0, 11
224, 6, 138, 2, 2, 11
225, 6, 157, 3, 3, 11
226, 4, 103, 2, 2, 11
227, 5, 209, 5, 5, 13
228, 4, 177, 2, 2, 12
229, 5, 204, 5, 3, 13
230, 6, 342, 7, 6, 15
231, 7, 282, 5, 6, 17
232, 7, 267, 6, 5, 16
233, 5, 124, 3, 3, 10
234, 6, 236, 4, 4, 15
235, 4, 217, 8, 9, 13
236, 4, 200, 3, 2, 13
237, 3, 206, 5, 6, 10
238, 4, 82, 4, 4, 8
239, 4, 94, 3, 3, 7
240, 4, 179, 5, 5, 10
241, 5, 225, 4, 4, 12
242, 5, 128, 2, 2, 13
243, 5, 176, 4, 5, 13
244, 4, 129, 5, 4, 10
245, 3, 144, 5, 5, 8
246, 2, 127, 7, 7, 4
247, 3, 49, 3, 2, 5
248, 4, 128, 4, 4, 8
249, 3, 86, 3, 3, 7
250, 5, 101, 5, 5, 9
251, 5, 140, 3, 4, 12
252, 4, 150, 4, 4, 9
253, 3, 123, 4, 4, 3
254, 4, 227, 6, 6, 11
255, 5, 168, 5, 5, 13
256, 5, 128, 1, 1, 13
257, 5, 155, 4, 4, 12
258, 5, 239, 6, 8, 18
259, 5, 235, 7, 7, 14
260, 6, 198, 4, 5, 14
261, 5, 121, 4, 3, 12
262, 5, 132, 5, 5, 10
263, 6, 169, 3, 3, 10
264, 3, 92, 4, 3, 4
265, 3, 105, 3, 3, 4
266, 7, 143, 8, 8, 12
267, 7, 154, 3, 3, 11
268, 5, 25, 4, 6, 8
269, 4, 9, 4, 4, 8
270, 3, 20, 3, 2, 7
271, 3, 89, 3, 4, 6
272, 4, 76, 2, 2, 9
273, 5, 84, 2, 2, 10
274, 7, 239, 5, 5, 25
275, 8, 204, 3, 3, 28
276, 6, 216, 6, 6, 17
277, 6, 95, 3, 3, 13
278, 4, 208, 10, 7, 6
279, 2, 82, 5, 3, 3
280, 2, 85, 4, 3, 4
281, 3, 89, 4, 6, 5
282, 4, 99, 3, 3, 13
283, 5, 202, 5, 6, 17
284, 6, 206, 5, 6, 25
285, 6, 118, 1, 1, 21
286, 5, 30, 2, 2, 12
287, 7, 129, 3, 4, 17
288, 9, 184, 5, 4, 19
289, 7, 155, 3, 3, 19
290, 5, 178, 4, 5, 17
291, 7, 136, 4, 4, 14
292, 6, 99, 2, 2, 16
293, 6, 47, 4, 4, 13
294, 3, 72, 4, 4, 6
295, 3, 74, 3, 3, 8
296, 5, 119, 4, 5, 13
297, 4, 137, 4, 3, 18
298, 6, 197, 4, 5, 31
299, 4, 176, 5, 4, 20
300, 6, 136, 5, 6, 24
301, 6, 138, 3, 2, 24
302, 7, 191, 5, 6, 32
303, 7, 129, 3, 2, 31
304, 6, 150, 2, 2, 34
305, 6, 182, 5, 6, 27
