time, numFragments, numFailedAllocations, numAllocations, numDeallocations, freeMem
1, 1, 0, 16, 0, 66
2, 1, 0, 13, 1, 12
3, 1, 2, 7, 4, 2
4, 3, 6, 4, 3, 4
5, 6, 24, 11, 6, 12
6, 5, 21, 8, 6, 8
7, 4, 23, 10, 8, 4
8, 6, 16, 4, 2, 6
9, 8, 31, 6, 8, 8
10, 8, 49, 10, 9, 9
11, 5, 55, 8, 8, 7
12, 4, 45, 9, 7, 6
13, 2, 62, 13, 12, 5
14, 4, 62, 11, 11, 6
15, 6, 66, 7, 7, 9
16, 6, 87, 8, 6, 9
17, 6, 83, 10, 10, 8
18, 4, 71, 7, 7, 4
19, 7, 108, 9, 12, 9
20, 9, 138, 9, 9, 15
21, 8, 159, 10, 10, 13
22, 5, 127, 10, 12, 8
23, 7, 150, 10, 10, 12
24, 6, 168, 8, 8, 11
25, 3, 115, 8, 8, 3
26, 1, 100, 8, 8, 1
27, 0, 122, 8, 6, 0
28, 4, 72, 6, 10, 6
29, 3, 176, 12, 10, 4
30, 3, 140, 8, 10, 3
31, 2, 133, 8, 7, 2
32, 2, 93, 8, 9, 2
33, 3, 111, 8, 6, 3
34, 4, 165, 7, 7, 5
35, 5, 155, 6, 8, 7
36, 5, 82, 5, 6, 6
37, 7, 210, 9, 10, 9
38, 4, 170, 11, 12, 4
39, 6, 139, 5, 6, 6
40, 2, 133, 9, 7, 2
41, 3, 176, 6, 8, 3
42, 6, 167, 8, 8, 6
43, 5, 284, 13, 12, 5
44, 4, 157, 8, 6, 4
45, 2, 208, 9, 7, 2
46, 2, 39, 5, 4, 2
47, 2, 53, 7, 10, 2
48, 4, 195, 9, 8, 4
49, 0, 184, 11, 9, 0
50, 2, 36, 4, 4, 2
51, 3, 167, 6, 6, 3
52, 0, 172, 8, 5, 0
53, 0, 190, 11, 13, 0
54, 1, 300, 17, 12, 1
55, 2, 242, 7, 8, 2
56, 1, 254, 9, 6, 1
57, 3, 284, 10, 10, 3
58, 5, 322, 11, 14, 5
59, 7, 362, 9, 11, 8
60, 5, 301, 10, 10, 5
61, 5, 184, 7, 6, 5
62, 6, 350, 10, 9, 7
63, 9, 407, 10, 13, 9
64, 8, 429, 10, 13, 8
65, 7, 338, 7, 7, 7
66, 5, 260, 8, 6, 5
67, 5, 222, 6, 8, 5
68, 1, 243, 9, 9, 1
69, 0, 153, 9, 6, 0
70, 1, 279, 11, 11, 1
71, 3, 311, 9, 12, 3
72, 4, 281, 10, 10, 4
73, 2, 325, 11, 8, 2
74, 3, 239, 8, 9, 3
75, 4, 164, 6, 6, 4
76, 5, 400, 11, 11, 5
77, 4, 110, 4, 5, 5
78, 5, 294, 6, 8, 6
79, 4, 82, 2, 1, 4
80, 1, 276, 12, 9, 1
81, 2, 281, 11, 14, 2
82, 0, 229, 9, 5, 0
83, 2, 186, 10, 11, 2
84, 2, 122, 4, 4, 3
85, 2, 300, 6, 6, 2
86, 3, 238, 6, 7, 3
87, 3, 376, 10, 10, 3
88, 3, 353, 8, 8, 3
89, 0, 360, 9, 9, 0
90, 0, 365, 8, 9, 0
91, 0, 401, 11, 10, 0
92, 0, 103, 8, 7, 0
93, 2, 282, 10, 12, 2
94, 1, 481, 10, 8, 1
95, 2, 285, 10, 11, 2
96, 2, 623, 10, 12, 3
97, 0, 414, 8, 5, 0
98, 0, 376, 11, 11, 0
99, 5, 416, 5, 11, 8
100, 7, 657, 8, 8, 10
101, 7, 630, 7, 8, 11
102, 7, 618, 6, 7, 11
103, 4, 405, 8, 7, 6
104, 4, 306, 6, 5, 6
105, 7, 458, 4, 8, 13
106, 8, 667, 5, 8, 17
107, 6, 605, 7, 5, 12
108, 5, 564, 8, 11, 10
109, 5, 235, 2, 4, 10
110, 4, 131, 3, 4, 7
111, 2, 183, 4, 4, 3
112, 6, 378, 2, 4, 13
113, 7, 595, 8, 7, 14
114, 7, 555, 6, 10, 13
115, 3, 386, 6, 5, 7
116, 4, 159, 4, 4, 7
117, 5, 509, 11, 9, 10
118, 5, 161, 3, 4, 8
119, 6, 483, 5, 4, 10
120, 4, 28, 6, 7, 5
121, 4, 149, 6, 6, 5
122, 4, 379, 4, 4, 6
123, 2, 192, 7, 6, 2
124, 3, 433, 6, 7, 5
125, 4, 71, 3, 2, 6
126, 5, 501, 7, 7, 11
127, 4, 332, 4, 3, 8
128, 5, 239, 5, 6, 8
129, 5, 289, 4, 3, 9
130, 4, 427, 7, 4, 9
131, 4, 222, 4, 5, 9
132, 5, 434, 4, 8, 13
133, 6, 505, 6, 6, 12
134, 7, 294, 4, 4, 12
135, 6, 271, 2, 2, 11
136, 5, 283, 5, 6, 9
137, 5, 150, 4, 5, 8
138, 6, 253, 4, 6, 9
139, 3, 255, 6, 6, 4
140, 3, 49, 3, 3, 4
141, 2, 61, 4, 4, 2
142, 2, 96, 4, 2, 2
143, 1, 30, 3, 3, 1
144, 1, 95, 6, 7, 1
145, 2, 38, 4, 3, 4
146, 2, 124, 5, 7, 5
147, 4, 238, 3, 3, 9
148, 5, 381, 6, 6, 10
149, 3, 282, 6, 5, 5
150, 5, 336, 4, 4, 8
151, 5, 285, 2, 2, 9
152, 3, 347, 8, 8, 4
153, 3, 129, 6, 5, 6
154, 2, 137, 3, 2, 5
155, 3, 274, 5, 4, 7
156, 3, 249, 6, 6, 7
157, 3, 281, 3, 3, 7
158, 4, 252, 4, 4, 8
159, 6, 435, 5, 5, 12
160, 5, 176, 6, 6, 6
161, 3, 254, 6, 6, 3
162, 3, 12, 3, 2, 5
163, 6, 414, 5, 6, 15
164, 2, 130, 8, 8, 3
165, 2, 9, 1, 1, 3
166, 3, 64, 0, 1, 8
167, 3, 209, 2, 2, 8
168, 4, 219, 5, 5, 10
169, 4, 334, 3, 4, 14
170, 6, 417, 5, 6, 20
171, 6, 406, 2, 3, 21
172, 6, 489, 6, 5, 21
173, 6, 461, 5, 4, 17
174, 6, 409, 5, 3, 15
175, 6, 426, 3, 3, 16
176, 5, 311, 4, 4, 10
177, 7, 415, 4, 4, 17
178, 7, 494, 7, 6, 20
179, 6, 386, 2, 2, 18
180, 5, 353, 7, 7, 12
181, 5, 272, 3, 3, 11
182, 8, 442, 7, 8, 17
183, 6, 422, 7, 7, 14
184, 9, 466, 8, 10, 22
185, 9, 406, 3, 3, 21
186, 9, 375, 3, 3, 21
187, 9, 356, 2, 2, 19
188, 10, 391, 2, 2, 20
189, 5, 152, 5, 9, 10
190, 3, 195, 3, 3, 9
191, 3, 170, 1, 1, 12
192, 3, 112, 3, 3, 8
193, 3, 35, 3, 3, 6
194, 4, 194, 4, 4, 10
195, 6, 175, 4, 4, 12
196, 5, 161, 2, 1, 11
197, 6, 327, 5, 4, 14
198, 7, 261, 3, 3, 14
199, 6, 189, 5, 5, 10
200, 5, 232, 7, 5, 8
201, 3, 154, 6, 7, 7
202, 3, 131, 6, 5, 6
203, 4, 186, 6, 7, 9
204, 6, 272, 3, 3, 14
205, 5, 261, 3, 2, 13
206, 5, 191, 5, 3, 10
207, 5, 292, 4, 4, 13
208, 6, 327, 3, 7, 17
209, 7, 258, 3, 3, 15
210, 7, 361, 6, 6, 18
211, 6, 290, 1, 1, 17
212, 4, 184, 3, 4, 11
213, 5, 173, 5, 6, 10
214, 6, 125, 2, 2, 11
215, 6, 241, 1, 2, 15
216, 6, 250, 1, 1, 15
217, 4, 32, 4, 4, 7
218, 0, 44, 6, 6, 0
219, 1, 0, 2, 2, 5
220, 1, 42, 3, 3, 5
221, 1, 7, 1, 1, 5
222, 3, 200, 10, 8, 8
223, 4, 67, 1, 1, 9
224, 4, 155, 4, 7, 12
225, 6, 298, 3, 3, 17
226, 5, 330, 6, 5, 17
227, 5, 170, 4, 4, 12
228, 4, 96, 2, 2, 8
229, 4, 51, 6, 5, 6
230, 5, 86, 3, 3, 8
231, 5, 137, 3, 3, 10
232, 4, 105, 4, 4, 5
233, 5, 62, 1, 1, 9
234, 6, 269, 3, 4, 15
235, 5, 205, 7, 5, 11
236, 8, 283, 3, 3, 19
237, 7, 269, 4, 3, 17
238, 7, 278, 4, 4, 17
239, 5, 91, 3, 4, 10
240, 4, 97, 3, 3, 8
241, 5, 113, 3, 4, 11
242, 6, 149, 3, 4, 12
243, 5, 114, 4, 3, 10
244, 6, 183, 4, 6, 14
245, 6, 214, 3, 3, 15
246, 8, 278, 5, 5, 19
247, 7, 239, 2, 1, 18
248, 7, 225, 1, 1, 18
249, 3, 94, 7, 6, 3
250, 3, 12, 2, 2, 3
251, 4, 72, 4, 4, 7
252, 3, 94, 6, 7, 7
253, 4, 64, 2, 2, 10
254, 2, 79, 7, 4, 3
255, 3, 13, 2, 1, 4
256, 4, 160, 7, 6, 8
257, 4, 92, 4, 5, 7
258, 5, 136, 4, 3, 10
259, 6, 137, 2, 1, 13
260, 4, 204, 4, 4, 14
261, 5, 220, 5, 5, 15
262, 4, 165, 4, 4, 12
263, 4, 207, 4, 5, 16
264, 4, 252, 6, 4, 15
265, 2, 104, 7, 7, 4
266, 5, 88, 6, 8, 8
267, 7, 199, 3, 3, 16
268, 8, 261, 4, 4, 23
269, 6, 195, 4, 3, 15
270, 6, 163, 3, 3, 13
271, 6, 207, 5, 5, 13
272, 6, 179, 3, 4, 17
273, 7, 224, 5, 6, 18
274, 7, 193, 5, 4, 16
275, 7, 256, 6, 6, 19
276, 6, 62, 2, 2, 11
277, 5, 175, 4, 5, 11
278, 5, 118, 6, 6, 10
279, 3, 93, 5, 5, 6
280, 3, 34, 4, 3, 6
281, 3, 129, 7, 6, 6
282, 3, 1, 1, 1, 6
283, 4, 53, 2, 3, 11
284, 4, 87, 1, 1, 12
285, 4, 114, 7, 5, 7
286, 4, 151, 8, 9, 7
287, 6, 112, 4, 3, 13
288, 5, 214, 7, 10, 16
289, 5, 115, 5, 5, 10
290, 5, 107, 5, 5, 8
291, 4, 46, 3, 3, 7
292, 3, 86, 6, 4, 3
293, 3, 4, 2, 3, 3
294, 5, 154, 6, 7, 10
295, 5, 124, 3, 3, 11
296, 5, 117, 3, 5, 15
297, 5, 145, 6, 7, 12
298, 5, 35, 1, 2, 11
299, 6, 26, 2, 3, 8
300, 4, 61, 5, 5, 6
301, 3, 54, 4, 3, 4
302, 2, 45, 2, 2, 3
303, 3, 50, 3, 3, 5
304, 4, 50, 4, 5, 9
305, 3, 114, 9, 7, 7
