time, numFragments, numFailedAllocations, numAllocations, numDeallocations, freeMem
1, 12, 3, 13, 0, 210
2, 16, 14, 8, 0, 174
3, 16, 32, 3, 1, 168
4, 17, 45, 3, 2, 172
5, 17, 60, 5, 4, 172
6, 16, 76, 5, 5, 138
7, 16, 90, 6, 5, 136
8, 16, 104, 5, 4, 141
9, 17, 118, 9, 8, 164
10, 17, 130, 6, 8, 169
11, 19, 143, 6, 5, 166
12, 19, 159, 1, 2, 183
13, 19, 170, 8, 6, 176
14, 19, 188, 4, 4, 191
15, 19, 201, 6, 6, 195
16, 19, 224, 4, 3, 180
17, 19, 231, 5, 6, 164
18, 20, 241, 6, 4, 137
19, 20, 259, 6, 8, 136
20, 19, 278, 3, 5, 137
21, 18, 285, 7, 8, 132
22, 17, 296, 9, 8, 125
23, 17, 313, 5, 5, 159
24, 17, 325, 4, 3, 151
25, 17, 334, 7, 7, 153
26, 17, 347, 8, 7, 149
27, 17, 369, 5, 5, 144
28, 17, 381, 7, 8, 147
29, 18, 398, 6, 5, 136
30, 16, 411, 6, 6, 152
31, 17, 423, 7, 7, 177
32, 18, 440, 5, 6, 175
33, 19, 458, 7, 5, 178
34, 19, 467, 4, 6, 155
35, 18, 486, 2, 4, 158
36, 16, 499, 4, 4, 142
37, 15, 512, 4, 3, 154
38, 16, 522, 6, 9, 166
39, 16, 533, 4, 4, 141
40, 16, 546, 6, 4, 162
41, 15, 559, 3, 4, 158
42, 15, 575, 6, 6, 163
43, 16, 591, 5, 5, 164
44, 16, 603, 7, 6, 166
45, 15, 616, 8, 6, 167
46, 15, 627, 3, 2, 179
47, 16, 640, 4, 3, 167
48, 17, 652, 7, 8, 156
49, 19, 676, 9, 6, 143
50, 19, 692, 5, 5, 141
51, 19, 700, 4, 4, 149
52, 19, 723, 4, 4, 146
53, 18, 734, 9, 9, 144
54, 19, 750, 8, 8, 162
55, 19, 770, 4, 5, 143
56, 18, 780, 8, 8, 128
57, 18, 796, 4, 3, 148
58, 17, 815, 3, 4, 160
59, 14, 831, 3, 7, 159
60, 17, 841, 11, 9, 151
61, 17, 857, 8, 7, 176
62, 16, 873, 6, 5, 176
63, 15, 881, 11, 11, 162
64, 15, 908, 2, 5, 165
65, 14, 927, 3, 4, 168
66, 15, 951, 10, 7, 134
67, 15, 973, 2, 2, 134
68, 15, 984, 7, 6, 139
69, 15, 993, 8, 7, 107
70, 15, 1011, 7, 7, 152
71, 15, 1029, 6, 7, 172
72, 15, 1040, 5, 5, 169
73, 15, 1060, 6, 5, 156
74, 16, 1081, 4, 4, 151
75, 15, 1098, 5, 5, 152
76, 15, 1116, 6, 7, 128
77, 15, 1138, 1, 3, 130
78, 15, 1152, 4, 4, 128
79, 16, 1160, 7, 7, 131
80, 18, 1166, 11, 9, 144
81, 16, 1184, 5, 4, 130
82, 17, 1198, 5, 5, 119
83, 19, 1209, 9, 9, 131
84, 20, 1221, 4, 4, 133
85, 21, 1241, 4, 4, 149
86, 20, 1262, 5, 7, 163
87, 20, 1276, 2, 1, 164
88, 17, 1285, 7, 9, 151
89, 18, 1302, 5, 5, 135
90, 19, 1315, 3, 2, 152
91, 19, 1320, 9, 10, 156
92, 19, 1330, 4, 4, 152
93, 18, 1345, 7, 7, 160
94, 18, 1359, 4, 4, 158
95, 18, 1374, 8, 8, 143
96, 18, 1393, 5, 4, 145
97, 17, 1408, 11, 9, 173
98, 17, 1417, 6, 7, 167
99, 16, 1435, 3, 5, 164
100, 14, 1432, 3, 4, 153
101, 14, 1428, 4, 6, 167
102, 13, 1424, 4, 5, 164
103, 15, 1420, 4, 4, 151
104, 15, 1417, 3, 3, 137
105, 15, 1417, 0, 2, 141
106, 17, 1413, 4, 6, 144
107, 17, 1410, 3, 3, 144
108, 17, 1407, 3, 3, 133
109, 17, 1403, 4, 4, 127
110, 18, 1397, 6, 6, 156
111, 17, 1392, 5, 5, 153
112, 17, 1387, 5, 5, 148
113, 17, 1385, 2, 2, 158
114, 17, 1382, 3, 3, 147
115, 16, 1377, 5, 5, 131
116, 16, 1374, 3, 3, 135
117, 16, 1372, 2, 2, 127
118, 17, 1365, 7, 7, 165
119, 17, 1358, 7, 7, 148
120, 18, 1354, 4, 4, 161
121, 18, 1349, 5, 5, 154
122, 18, 1347, 2, 2, 182
123, 19, 1342, 5, 5, 189
124, 19, 1337, 5, 5, 170
125, 18, 1332, 5, 5, 185
126, 17, 1328, 4, 4, 171
127, 18, 1325, 3, 3, 175
128, 17, 1322, 3, 3, 157
129, 16, 1318, 4, 4, 168
130, 16, 1311, 7, 7, 150
131, 16, 1309, 2, 2, 151
132, 16, 1307, 2, 2, 156
133, 16, 1304, 3, 3, 147
134, 16, 1296, 8, 8, 129
135, 16, 1292, 4, 4, 125
136, 16, 1287, 5, 5, 126
137, 15, 1283, 4, 4, 111
138, 16, 1280, 3, 3, 117
139, 16, 1277, 3, 3, 133
140, 16, 1275, 2, 2, 135
141, 17, 1273, 2, 2, 136
142, 17, 1265, 8, 8, 147
143, 18, 1262, 3, 3, 160
144, 17, 1258, 4, 4, 157
145, 16, 1252, 6, 6, 125
146, 17, 1249, 3, 3, 137
147, 17, 1242, 7, 7, 93
148, 17, 1239, 3, 3, 98
149, 14, 1233, 6, 6, 93
150, 15, 1226, 7, 7, 169
151, 16, 1222, 4, 4, 179
152, 16, 1217, 5, 5, 178
153, 16, 1215, 2, 2, 178
154, 16, 1210, 5, 5, 177
155, 16, 1208, 2, 2, 188
156, 16, 1200, 8, 8, 164
157, 17, 1196, 4, 4, 165
158, 17, 1192, 4, 4, 185
159, 16, 1185, 7, 7, 158
160, 16, 1182, 3, 3, 154
161, 16, 1180, 2, 2, 163
162, 16, 1175, 5, 5, 187
163, 14, 1169, 6, 6, 141
164, 14, 1166, 3, 3, 131
165, 15, 1159, 7, 7, 142
166, 16, 1158, 1, 1, 143
167, 17, 1154, 4, 4, 130
168, 18, 1151, 3, 3, 142
169, 16, 1144, 7, 7, 129
170, 16, 1141, 3, 3, 130
171, 16, 1140, 1, 1, 132
172, 16, 1138, 2, 2, 121
173, 15, 1134, 4, 4, 122
174, 15, 1130, 4, 4, 104
175, 15, 1127, 3, 3, 111
176, 15, 1123, 4, 4, 156
177, 17, 1117, 6, 6, 154
178, 17, 1113, 4, 4, 153
179, 15, 1110, 3, 3, 142
180, 15, 1108, 2, 2, 151
181, 16, 1103, 5, 5, 126
182, 15, 1100, 3, 3, 121
183, 15, 1097, 3, 3, 122
184, 14, 1091, 6, 6, 134
185, 17, 1084, 7, 7, 153
186, 17, 1080, 4, 4, 164
187, 18, 1076, 4, 4, 150
188, 17, 1072, 4, 4, 178
189, 17, 1069, 3, 3, 171
190, 17, 1068, 1, 1, 172
191, 17, 1064, 4, 4, 160
192, 16, 1060, 4, 4, 150
193, 18, 1054, 6, 6, 147
194, 19, 1053, 1, 1, 148
