time, numFragments, numFailedAllocations, numAllocations, numDeallocations, freeMem
1, 12, 3, 13, 0, 210
2, 14, 18, 4, 0, 201
3, 15, 36, 3, 1, 195
4, 16, 49, 3, 2, 199
5, 16, 65, 4, 3, 200
6, 15, 83, 3, 4, 188
7, 15, 99, 4, 4, 182
8, 15, 115, 3, 2, 146
9, 15, 131, 7, 7, 110
10, 15, 141, 8, 7, 118
11, 16, 157, 3, 2, 124
12, 16, 172, 2, 3, 159
13, 18, 183, 8, 8, 205
14, 18, 203, 2, 1, 204
15, 17, 218, 4, 3, 204
16, 16, 239, 6, 6, 170
17, 17, 247, 4, 5, 155
18, 17, 261, 2, 2, 150
19, 17, 279, 6, 6, 139
20, 17, 297, 4, 6, 120
21, 17, 309, 2, 3, 152
22, 16, 326, 3, 2, 150
23, 16, 347, 1, 2, 183
24, 16, 361, 2, 1, 178
25, 16, 365, 12, 12, 195
26, 17, 382, 4, 4, 207
27, 16, 407, 2, 2, 222
28, 16, 424, 2, 3, 193
29, 16, 440, 7, 5, 156
30, 17, 451, 8, 9, 156
31, 18, 463, 7, 6, 161
32, 17, 480, 5, 6, 165
33, 17, 500, 5, 3, 179
34, 17, 511, 2, 4, 170
35, 16, 525, 7, 7, 163
36, 16, 537, 5, 5, 178
37, 16, 550, 4, 4, 181
38, 16, 564, 2, 4, 175
39, 16, 578, 1, 1, 167
40, 15, 591, 6, 4, 162
41, 14, 603, 4, 5, 155
42, 14, 625, 0, 0, 155
43, 15, 639, 7, 7, 184
44, 15, 654, 4, 3, 182
45, 16, 661, 14, 13, 205
46, 15, 672, 3, 2, 201
47, 15, 687, 2, 1, 194
48, 16, 703, 3, 3, 199
49, 16, 730, 6, 4, 193
50, 15, 746, 5, 5, 215
51, 15, 754, 4, 4, 207
52, 16, 774, 7, 7, 230
53, 17, 789, 5, 5, 208
54, 17, 808, 5, 6, 206
55, 16, 828, 4, 6, 219
56, 17, 842, 4, 3, 224
57, 17, 858, 4, 3, 230
