time, numFragments, numFailedAllocations, numAllocations, numDeallocations, freeMem
1, 1, 0, 16, 0, 66
2, 2, 0, 13, 1, 12
3, 1, 2, 7, 4, 2
4, 3, 6, 4, 3, 4
5, 5, 22, 12, 6, 7
6, 3, 15, 9, 6, 3
7, 1, 14, 9, 8, 1
8, 2, 2, 4, 2, 2
9, 3, 24, 8, 9, 3
10, 5, 40, 9, 10, 8
11, 7, 51, 6, 6, 11
12, 7, 57, 8, 8, 12
13, 6, 65, 12, 10, 6
14, 6, 69, 10, 8, 8
15, 7, 94, 13, 12, 10
16, 6, 84, 9, 6, 8
17, 5, 99, 11, 11, 6
18, 5, 84, 9, 9, 5
19, 10, 125, 8, 8, 14
20, 10, 133, 7, 8, 11
21, 10, 154, 11, 16, 10
22, 7, 128, 10, 12, 7
23, 6, 70, 6, 7, 6
24, 3, 133, 10, 11, 4
25, 3, 136, 8, 8, 4
26, 3, 92, 9, 8, 3
27, 3, 41, 5, 5, 3
28, 4, 153, 9, 12, 6
29, 1, 79, 8, 6, 1
30, 4, 129, 7, 8, 6
31, 5, 99, 5, 6, 9
32, 4, 135, 6, 7, 6
33, 3, 156, 10, 8, 3
34, 4, 133, 6, 7, 5
35, 2, 123, 8, 11, 2
36, 3, 106, 6, 5, 3
37, 4, 106, 7, 4, 4
38, 8, 165, 7, 13, 8
39, 8, 214, 8, 7, 8
40, 6, 196, 7, 6, 7
41, 7, 190, 6, 8, 8
42, 4, 209, 11, 10, 4
43, 3, 163, 10, 13, 5
44, 3, 133, 6, 6, 4
45, 3, 179, 10, 7, 3
46, 3, 44, 5, 3, 3
47, 4, 195, 11, 8, 4
48, 4, 24, 2, 2, 4
49, 0, 172, 10, 7, 0
50, 0, 225, 9, 6, 0
51, 5, 248, 10, 10, 5
52, 2, 82, 11, 8, 2
53, 2, 116, 6, 5, 2
54, 3, 296, 11, 12, 3
55, 6, 324, 12, 14, 6
56, 5, 182, 7, 6, 6
57, 6, 311, 7, 6, 8
58, 6, 216, 4, 9, 7
59, 7, 287, 11, 11, 8
60, 6, 286, 9, 8, 6
61, 6, 325, 12, 10, 7
62, 4, 296, 10, 13, 4
63, 4, 323, 10, 11, 4
64, 5, 293, 9, 11, 5
65, 3, 257, 8, 8, 3
66, 0, 325, 12, 8, 0
67, 0, 52, 6, 5, 0
68, 0, 28, 5, 6, 0
69, 0, 239, 11, 9, 0
70, 0, 54, 6, 7, 0
71, 1, 228, 8, 8, 1
72, 2, 386, 12, 11, 2
73, 0, 191, 12, 11, 0
74, 2, 300, 11, 11, 3
75, 3, 251, 5, 5, 3
76, 2, 186, 9, 13, 2
77, 3, 186, 6, 7, 3
78, 4, 263, 8, 12, 5
79, 0, 279, 10, 10, 0
80, 0, 80, 9, 9, 0
